query_pid,query_wid,s1_first,s1_ap,cov,none_n96_first,none_n96_ap,profile_cosine_n96_first,profile_cosine_n96_ap,exhaustive_dtw_n96_first,exhaustive_dtw_n96_ap,none_n384_first,none_n384_ap,profile_cosine_n384_first,profile_cosine_n384_ap,exhaustive_dtw_n384_first,exhaustive_dtw_n384_ap
P_347799,W_49809,33,0.01658963793221282,0,33,0.01658964,33,0.01658964,33,0.01658964,33,0.01658964,33,0.01658964,33,0.01658964
P_347864,W_142008,12,0.015121000603329349,1,20,0.01234322,27,0.01126298,27,0.01126298,22,0.01196443,24,0.01164878,24,0.01164878
P_34788,W_34791,3,0.07012767483997227,2,1,0.11305697,1,0.18123879,1,0.18123879,1,0.12171498,1,0.18123879,1,0.18123879
P_347904,W_119158,1,0.12037071452763597,3,6,0.04383753,4,0.06133922,3,0.07473579,10,0.03697425,4,0.06203738,3,0.07473579
P_34791,W_34791,3,0.04013846769678605,1,1,0.09569402,1,0.09569402,1,0.09569402,1,0.09569402,1,0.09569402,1,0.09569402
P_34792,W_34791,702,0.002622987889429456,0,702,0.00262299,702,0.00262299,702,0.00262299,702,0.00262299,702,0.00262299,702,0.00262299
P_34795,W_34791,68,0.011910161009258582,0,68,0.01191016,68,0.01191016,68,0.01191016,68,0.01191016,68,0.01191016,68,0.01191016
P_34797,W_34791,1,0.1241131146134789,2,16,0.0474587,1,0.19911311,1,0.19911311,12,0.05221141,1,0.19911311,1,0.19911311
P_347987,W_3414,29,0.02441566983634845,1,20,0.02570877,21,0.02551036,21,0.02551036,20,0.02570877,21,0.02551036,21,0.02551036
P_3480,W_3447,12,0.0402919896211903,3,1,0.11381414,4,0.06093469,4,0.08233992,1,0.11381414,3,0.07065691,2,0.13073736
P_348033,W_54461,6,0.07521568984590685,3,13,0.05546854,4,0.09763284,2,0.12614162,14,0.05501066,1,0.19192444,1,0.19192444
P_348034,W_39786,5046,0.0007606433524418355,0,5046,0.00076064,5046,0.00076064,5046,0.00076064,5046,0.00076064,5046,0.00076064,5046,0.00076064
P_348086,W_142008,30,0.008268870770206658,1,12,0.01243554,18,0.01012072,12,0.01243554,15,0.01104665,23,0.00911428,18,0.01012072
P_348093,W_13687,417,0.0026312879933287282,0,417,0.00263129,417,0.00263129,417,0.00263129,417,0.00263129,417,0.00263129,417,0.00263129
P_348239,W_142049,6,0.050653876871877744,3,1,0.13734496,3,0.10163068,3,0.10163068,1,0.13680384,1,0.21224576,1,0.21224576
P_348252,W_25030,1,0.5600019087471904,8,2,0.27047599,1,0.56091653,1,0.54852901,1,0.36390198,1,0.62455025,1,0.62455025
P_348259,W_76498,108,0.007557646879149077,0,108,0.00755765,108,0.00755765,108,0.00755765,108,0.00755765,108,0.00755765,108,0.00755765
P_348329,W_4066,5,0.07492578548437613,4,1,0.18076528,1,0.15056423,1,0.15056423,1,0.18076528,1,0.16266829,1,0.16222737
P_348331,W_2474,43,0.008541373300083019,0,43,0.00854137,43,0.00854137,43,0.00854137,43,0.00854137,43,0.00854137,43,0.00854137
P_348459,W_7489,1279,0.0010950888405103956,0,1279,0.00109509,1279,0.00109509,1279,0.00109509,1279,0.00109509,1279,0.00109509,1279,0.00109509
P_348815,W_6784,1,0.16425909707577857,4,1,0.15730516,1,0.36160758,1,0.36160758,1,0.15730516,1,0.36160758,1,0.36160758
P_348844,W_142008,2809,0.0008376437791870511,0,2809,0.00083764,2809,0.00083764,2809,0.00083764,2809,0.00083764,2809,0.00083764,2809,0.00083764
P_348856,W_142008,24,0.016135617223614677,1,9,0.02192265,12,0.01960784,12,0.01960784,7,0.02456816,11,0.02023915,11,0.02023915
P_348914,W_26941,1,0.41485559286407864,6,1,0.24309025,1,0.41343296,1,0.41343296,1,0.2425391,1,0.44724938,1,0.4457874
P_348985,W_7116,104,0.003676451593823914,0,104,0.00367645,104,0.00367645,104,0.00367645,104,0.00367645,104,0.00367645,104,0.00367645
P_348986,W_10838,91,0.010189217738633861,0,91,0.01018922,91,0.01018922,91,0.01018922,91,0.01018922,91,0.01018922,91,0.01018922
P_34907,W_34907,60,0.015585230452929462,0,60,0.01558523,60,0.01558523,60,0.01558523,60,0.01558523,60,0.01558523,60,0.01558523
P_349075,W_142008,805,0.002651755459225858,0,805,0.00265176,805,0.00265176,805,0.00265176,805,0.00265176,805,0.00265176,805,0.00265176
P_349111,W_11484,96,0.0045349004172155856,0,96,0.0045349,96,0.0045349,96,0.0045349,96,0.0045349,96,0.0045349,96,0.0045349
P_349166,W_93644,59,0.016094981703385736,0,59,0.01609498,59,0.01609498,59,0.01609498,59,0.01609498,59,0.01609498,59,0.01609498
P_349307,W_142008,21,0.014753985134924702,1,5,0.0274524,27,0.01387215,28,0.01376192,4,0.03161906,26,0.01399086,26,0.01399086
P_349308,W_23116,4,0.06458380823976813,2,27,0.01905912,1,0.17708381,1,0.17708381,27,0.01905912,1,0.17708381,1,0.17708381
P_349311,W_117450,3,0.1173863257322975,5,11,0.0894609,16,0.06879742,17,0.07177754,10,0.08929936,6,0.08269267,6,0.08322539
P_349312,W_9290,1,0.13655147595664333,2,13,0.04137443,3,0.06644566,3,0.06644566,12,0.04190862,1,0.12385306,1,0.12385306
P_349313,W_39783,77,0.008957794120595998,0,77,0.00895779,77,0.00895779,77,0.00895779,77,0.00895779,77,0.00895779,77,0.00895779
P_349315,W_142008,87,0.009512832176224485,0,87,0.00951283,87,0.00951283,87,0.00951283,87,0.00951283,87,0.00951283,87,0.00951283
P_349368,W_30668,19,0.022557171380929917,2,2,0.09575741,1,0.11242408,1,0.11659075,1,0.15131297,1,0.12909075,1,0.17909075
P_349374,W_11472,115,0.0052597687571306,0,115,0.00525977,115,0.00525977,115,0.00525977,115,0.00525977,115,0.00525977,115,0.00525977
P_349375,W_51795,275,0.0025612039449039703,0,275,0.0025612,275,0.0025612,275,0.0025612,275,0.0025612,275,0.0025612,275,0.0025612
P_349376,W_142008,258,0.004381315430382704,0,258,0.00438132,258,0.00438132,258,0.00438132,258,0.00438132,258,0.00438132,258,0.00438132
P_349391,W_40675,172,0.006534471904887452,0,172,0.00653447,172,0.00653447,172,0.00653447,172,0.00653447,172,0.00653447,172,0.00653447
P_349393,W_13552,106,0.005415459374903908,0,106,0.00541546,106,0.00541546,106,0.00541546,106,0.00541546,106,0.00541546,106,0.00541546
P_349394,W_4690,4,0.03862329144041172,2,11,0.0300241,1,0.17721025,1,0.17721025,11,0.02923045,1,0.17721025,1,0.17721025
